,objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_r,diff_i,diff_z
272505,1237667112260665602,144.42889,25.509915,19.48022,18.92888,18.96648,19.03298,18.79651,19.49941,18.96265,18.98212,19.04767,18.82085,2.409077,0.5513458,-0.03759766,-0.06650162,0.2364635,b'QSO',-0.019190000000001817,-0.03377000000000052,-0.015639999999997656,-0.014690000000001646,-0.024339999999998696
9922,1237651822718812367,237.51547,3.2236104,18.2719,17.89509,17.71036,17.37702,17.35991,18.272,17.90216,17.71852,17.38049,17.35432,1.789153,0.3768082,0.1847286,0.3333435,0.01710701,b'QSO',-9.999999999976694e-05,-0.0070699999999987995,-0.008160000000000167,-0.003470000000000084,0.0055899999999979855
208722,1237661850925989932,164.34488,43.042971,17.63708,17.51148,17.46637,17.28985,17.33042,17.63857,17.52496,17.48659,17.29595,17.31566,1.558329,0.1255951,0.04511261,0.1765213,-0.04057121,b'QSO',-0.0014900000000004354,-0.013480000000001269,-0.02021999999999835,-0.006099999999999994,0.014759999999998996
47960,1237658423008297088,140.25415,4.8865822,18.4032,18.30445,18.34815,18.17506,18.17414,18.39231,18.2975,18.34722,18.17637,18.17199,1.813342,0.09874725,-0.04369926,0.17309,0.0009288788,b'QSO',0.010889999999999844,0.00694999999999979,0.0009300000000003195,-0.0013100000000001444,0.0021500000000003183
94753,1237662225680498885,192.21154,40.373565,19.40704,19.21115,19.0021,18.76211,18.79629,19.41188,19.21776,18.98831,18.75789,18.79623,1.546551,0.1958961,0.2090473,0.2399864,-0.03417397,b'QSO',-0.00484000000000151,-0.0066099999999984504,0.013790000000000191,0.0042200000000001125,5.999999999772854e-05
68242,1237661387600101390,195.13969,57.476395,18.43353,18.44396,18.38637,18.37417,17.85236,18.47301,18.5212,18.5102,18.53396,17.97721,0.3295052,-0.01042557,0.05759239,0.01220131,0.5218086,b'QSO',-0.03947999999999752,-0.07723999999999975,-0.12383000000000166,-0.159790000000001,-0.12484999999999857
73249,1237662336796393541,248.94292,25.799722,18.80986,18.67974,18.7213,18.54354,18.56295,18.81661,18.68916,18.71808,18.54477,18.57772,1.864598,0.1301212,-0.04156303,0.1777668,-0.01941109,b'QSO',-0.006750000000000256,-0.009420000000002204,0.0032199999999988904,-0.0012299999999996203,-0.014769999999998618
99751,1237665567683641607,221.66204,21.697273,18.93532,18.95265,18.83002,18.90037,18.85339,18.94698,18.96326,18.82476,18.90034,18.86621,0.9915163,-0.01733017,0.1226292,-0.07035637,0.04698563,b'QSO',-0.011659999999999116,-0.010609999999999786,0.00525999999999982,2.999999999886427e-05,-0.012819999999997833
22800,1237655348891222061,237.58388,49.731343,18.60669,18.38106,18.47839,18.31635,18.24219,18.67071,18.45871,18.62134,18.48275,18.41485,0.5014102,0.2256317,-0.09733391,0.1620388,0.07416534,b'QSO',-0.0640199999999993,-0.07764999999999844,-0.14294999999999902,-0.16639999999999944,-0.17266000000000048
299035,1237667255623680087,177.74683,30.965114,18.13121,17.91634,17.83785,17.85032,17.70884,18.1185,17.92838,17.84368,17.86031,17.70662,0.8418806,0.2148666,0.07849312,-0.01247215,0.1414833,b'QSO',0.012709999999998445,-0.01203999999999894,-0.005829999999999558,-0.009989999999998389,0.0022199999999976683
256635,1237653612110151882,138.05721,51.536277,19.10514,18.69205,18.36317,18.12685,18.19176,19.10105,18.69429,18.34829,18.11551,18.17579,1.478931,0.4130898,0.328886,0.2363148,-0.06491089,b'QSO',0.004089999999997929,-0.002240000000000464,0.014880000000001559,0.011340000000000572,0.015969999999999374
256640,1237653613720829989,136.87723,52.467636,19.31819,19.05543,18.96627,18.81291,18.95171,19.30748,19.05519,18.96052,18.81079,18.94843,1.463737,0.2627678,0.08915901,0.1533604,-0.1388073,b'QSO',0.010709999999999553,0.0002400000000015723,0.005750000000002586,0.0021199999999979013,0.0032800000000001717
240278,1237650372094853122,185.19145,-1.3543125,18.84245,18.67597,18.55965,18.40455,18.38554,18.84536,18.68497,18.56916,18.41481,18.39058,1.439739,0.1664791,0.1163197,0.1550961,0.01901627,b'QSO',-0.002909999999999968,-0.009000000000000341,-0.009509999999998797,-0.010259999999998826,-0.005040000000001044
202731,1237671123223183610,133.95971,10.45182,18.13767,18.06565,18.0287,17.81801,17.78777,18.16271,18.0803,18.03561,17.82607,17.77763,1.655135,0.07201576,0.03694725,0.2106895,0.03024673,b'QSO',-0.025040000000000617,-0.014649999999999608,-0.006909999999997751,-0.0080600000000004,0.010139999999999816
324573,1237658917996068984,196.85501,54.770974,19.70952,19.14329,18.98433,18.97936,18.78747,19.70674,19.17461,18.99041,18.98193,18.79776,2.275585,0.5662308,0.1589584,0.004974365,0.1918831,b'QSO',0.002780000000001337,-0.0313200000000009,-0.0060800000000007515,-0.002569999999998629,-0.010290000000001243
110658,1237648704058884327,226.11916,-0.33775898,18.68563,18.50334,18.38612,18.15027,18.16929,18.6952,18.51413,18.39946,18.18593,18.18585,1.87751,0.1822891,0.1172161,0.2358475,-0.01901436,b'QSO',-0.009570000000000078,-0.010790000000000077,-0.013340000000003016,-0.035660000000000025,-0.016559999999998354
